,Faculty,Bachelor Academic Year,GPA,Online classes
0,Arts,3rd Year,3.0,No
1,Arts,4th Year,2.66,No
2,Arts,3rd Year,2.05,No
3,Arts,3rd Year,1.14,No
4,Arts,4th Year,3.75,Yes
5,Arts,4th Year,3.7,No
6,Arts,3rd Year,2.8,Yes
7,Arts,2nd Year,2.64,Yes
8,Arts,2nd Year,2.73,Yes
9,Arts,2nd Year,3.07,Yes
10,Arts,3rd Year,3.75,Yes
11,Arts,3rd Year,3.58,Yes
12,Arts,2nd Year,2.7,Yes
13,Arts,2nd Year,1.64,Yes
24,Business,4th Year,3.5,No
25,Arts,1st Year,3.77,Yes
26,Business,4th Year,0.0,Yes
27,Arts,1st Year,3.07,No
28,Arts,4th Year,2.45,No
29,Arts,1st Year,3.59,No
30,Arts,1st Year,2.86,Yes
31,Arts,1st Year,2.48,Yes
32,Arts,1st Year,2.86,No
33,Arts,2nd Year,2.77,No
34,Arts,2nd Year,3.2,No
35,Arts,2nd Year,3.46,Yes
36,Arts,1st Year,3.46,Yes
37,Arts,2nd Year,2.5,No
38,Arts,2nd Year,3.59,Yes
39,Arts,2nd Year,2.5,Yes
40,Arts,2nd Year,3.39,Yes
41,Arts,2nd Year,2.95,Yes
42,Arts,2nd Year,3.0,Yes
43,Arts,2nd Year,2.84,Yes
44,Arts,2nd Year,2.73,No
45,Business,2nd Year,2.75,Yes
46,Arts,4th Year,3.66,No
47,Arts,4th Year,3.05,Yes
48,Arts,4th Year,2.57,No
49,Arts,4th Year,3.41,Yes
60,Arts,3rd Year,3.36,No
61,Arts,3rd Year,3.11,No
62,Arts,3rd Year,3.36,No
63,Business,3rd Year,2.53,No
64,Business,4th Year,3.75,No
65,Business,4th Year,2.5,Yes
66,Business,3rd Year,1.7,Yes
67,Business,4th Year,3.83,No
68,Business,2nd Year,3.55,Yes
69,Business,2nd Year,2.85,Yes
70,Science,4th Year,2.93,Yes
71,Science,4th Year,3.63,Yes
72,Science,4th Year,3.23,No
73,Science,4th Year,3.1,Yes
74,Science,2nd Year,3.55,Yes
75,Science,2nd Year,3.56,Yes
76,Science,2nd Year,3.73,Yes
77,Science,2nd Year,3.93,No
78,Science,2nd Year,3.35,Yes
79,Science,3rd Year,3.6,Yes
80,Science,4th Year,4.0,No
81,Science,2nd Year,3.8,Yes
82,Science,2nd Year,4.0,Yes
83,Science,1st Year,3.03,Yes
84,Science,3rd Year,4.63,No
85,Science,4th Year,3.3,Yes
86,Business,1st Year,2.85,Yes
87,Business,1st Year,3.33,Yes
88,Business,1st Year,3.85,Yes
89,Business,1st Year,3.4,No
90,Business,1st Year,3.45,Yes
91,Business,1st Year,2.58,No
92,Business,1st Year,3.95,No
93,Business,1st Year,3.35,No
94,Business,2nd Year,3.65,No
95,Business,1st Year,3.63,Yes
96,Business,2nd Year,2.9,Yes
97,Business,2nd Year,3.63,No
98,Business,1st Year,3.43,No
99,Business,1st Year,2.83,No
100,Business,4th Year,3.2,Yes
101,Business,3rd Year,3.81,Yes
102,Science,4th Year,3.95,Yes
103,Science,4th Year,3.18,Yes
104,Science,4th Year,4.0,Yes
105,Science,2nd Year,3.13,Yes
106,Science,2nd Year,2.84,No
107,Science,2nd Year,2.93,Yes
108,Science,4th Year,2.6,No
109,Science,2nd Year,3.33,No
110,Science,2nd Year,3.53,Yes
111,Science,2nd Year,3.55,No
112,Science,4th Year,3.71,No
113,Science,4th Year,3.78,Yes
114,Science,4th Year,3.28,No
115,Science,2nd Year,3.78,Yes
116,Science,2nd Year,1.7,Yes
117,Science,1st Year,3.23,No
118,Science,1st Year,3.75,Yes
119,Science,1st Year,3.78,Yes
120,Science,3rd Year,2.58,No
121,Business,1st Year,3.95,Yes
122,Business,3rd Year,3.95,No
123,Business,3rd Year,3.5,No
124,Business,1st Year,3.6,No
125,Business,3rd Year,2.95,Yes
126,Business,1st Year,2.73,Yes
127,Business,1st Year,2.78,Yes
128,Business,1st Year,3.55,No
129,Business,4th Year,3.25,No
130,Business,4th Year,0.0,No
131,Business,4th Year,3.13,Yes
132,Business,4th Year,2.5,Yes
133,Business,2nd Year,3.0,No
134,Business,2nd Year,3.75,No
135,Business,4th Year,2.93,No
136,Business,2nd Year,3.68,Yes
137,Business,2nd Year,3.25,No
138,Business,2nd Year,3.53,No
139,Business,1st Year,3.85,Yes
140,Business,3rd Year,3.4,Yes
141,Business,1st Year,3.58,No
142,Business,4th Year,2.13,No
143,Business,1st Year,3.73,Yes
144,Business,4th Year,2.45,No
145,Business,2nd Year,2.8,Yes
146,Business,2nd Year,3.25,Yes
147,Business,2nd Year,3.38,No
148,Business,2nd Year,3.05,No
149,Business,2nd Year,3.5,Yes
